2025-10-02 11:10:53.141 [main] INFO  com.itheima.TliasWebManagementApplication-Starting TliasWebManagementApplication using Java 21.0.7 with PID 28260 (D:\develop\Code\tlias-app\tlias-web-management-server\tlias-web-management\target\classes started by 麻效铭 in D:\develop\Code\tlias-app\tlias-web-management-server)
2025-10-02 11:10:53.142 [main] INFO  com.itheima.TliasWebManagementApplication-No active profile set, falling back to 1 default profile: "default"
2025-10-02 11:10:54.026 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat initialized with port 8080 (http)
2025-10-02 11:10:54.040 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Initializing ProtocolHandler ["http-nio-8080"]
2025-10-02 11:10:54.046 [main] INFO  org.apache.catalina.core.StandardService-Starting service [Tomcat]
2025-10-02 11:10:54.046 [main] INFO  org.apache.catalina.core.StandardEngine-Starting Servlet engine: [Apache Tomcat/10.1.42]
2025-10-02 11:10:54.083 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring embedded WebApplicationContext
2025-10-02 11:10:54.083 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext-Root WebApplicationContext: initialization completed in 908 ms
2025-10-02 11:10:54.652 [main] INFO  org.apache.coyote.http11.Http11NioProtocol-Starting ProtocolHandler ["http-nio-8080"]
2025-10-02 11:10:54.666 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer-Tomcat started on port 8080 (http) with context path '/'
2025-10-02 11:10:54.670 [main] INFO  com.itheima.TliasWebManagementApplication-Started TliasWebManagementApplication in 1.79 seconds (process running for 2.696)
2025-10-02 11:11:38.322 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]-Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-10-02 11:11:38.322 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Initializing Servlet 'dispatcherServlet'
2025-10-02 11:11:38.323 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet-Completed initialization in 1 ms
2025-10-02 11:11:38.383 [http-nio-8080-exec-1] INFO  com.itheima.controller.LoginController-登录：Emp(id=null, username=xiaoming, password=123456, name=null, gender=null, phone=null, job=null, salary=null, image=null, entryDate=null, deptId=null, createTime=null, updateTime=null, deptName=null, exprList=null)
2025-10-02 11:11:38.399 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Starting...
2025-10-02 11:11:38.585 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.pool.HikariPool-HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5a11adea
2025-10-02 11:11:38.586 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource-HikariPool-1 - Start completed.
